
Pełny katalog przestępstw,,,,,,,,,,,,,,,,,,,,,,,,,,,
Komisariaty Specjalistyczne/            KPP/ KRP,Postępowania wszczęte,,,,Przestępstwa stwierdzone,,,,W tym czyny karalne nieletnich                      w przestępstwach stwierdzonych,,,,Przestępstwa wykryte,,,,% wykrycia,,,Podejrzani ogółem,,,,Podejrzani - nieletni,,,
,Poprzedni okres,bieżący okres,zmiana (różnica),WD,Poprzedni okres,bieżący okres,zmiana (różnica),WD,Poprzedni okres,bieżący okres,zmiana (różnica),WD,Poprzedni okres, bieżący okres,zmiana (różnica),WD,Poprzedni okres,bieżący okres,(różnica),Poprzedni okres,bieżący okres, zmiana (różnica), WD,Poprzedni okres,bieżący okres,zmiana (różnica),WD
KKP Warszawa ,234,186,-48,79.5,235,200,-35,85.1,1,0,-1,0,156,137,-19,87.820513,65.822785,65.550239,-0.272546,120,107,-13,89.2,1,0,-1,0
KPPL Okęcie,106,106,0,100,99,92,-7,92.9,0,0,0,,71,66,-5,92.957746,71,70.967742,-3.2258064516128102E-2,70,58,-12,82.9,0,0,0,
KPP Grodzisk Maz.,738,924,186,125.2,667,739,72,110.8,30,12,-18,40,497,564,67,113.480885,73.412112,75.603217,2.191105,415,455,40,109.6,15,9,-6,60
KPP Legionowo,991,1201,210,121.2,1017,982,-35,96.6,5,10,5,200,709,750,41,105.782793,67.717287,75.910931,8.193644,435,569,134,130.8,8,10,2,125
KPP Mińsk Maz.,993,1258,265,126.7,853,813,-40,95.3,22,13,-9,59.1,681,667,-14,97.9442,78.185993,81.341463,3.15547,581,553,-28,95.2,29,14,-15,48.3
KPP Nowy Dwór Maz.,795,1067,272,134.2,748,895,147,119.7,6,12,6,200,569,748,179,131.458699,74.967062,83.20356,8.236498,398,455,57,114.3,5,9,4,180
KPP Otwock,907,1013,106,111.7,828,814,-14,98.3,10,26,16,260,618,627,9,101.456311,73.222749,76.277372,3.054623,441,497,56,112.7,11,28,17,254.5
KPP Piaseczno,1539,1711,172,111.2,1325,1456,131,109.9,4,5,1,125,891,1029,138,115.488215,66,68.463074,2.463074,593,744,151,125.5,5,3,-2,60
KPP Pruszków ,1282,1562,280,121.8,951,1060,109,111.5,16,7,-9,43.8,547,615,68,112.431444,56.449948,57.209302,0.759354,424,453,29,106.8,14,7,-7,50
KPP Warszawa Zach. ,945,1133,188,119.9,782,804,22,102.8,10,13,3,130,555,554,-1,99.81982,68.349754,68.649318,0.299565,460,453,-7,98.5,12,14,2,116.7
KPP Wołomin,1937,2089,152,107.8,2089,2139,50,102.4,89,41,-48,46.1,1479,1611,132,108.924949,69.469234,74.617879,5.148644,1018,1172,154,115.1,68,30,-38,44.1
KRP Warszawa I ,3452,3660,208,106.0,3068,3378,310,110.1,95,64,-31,67.4,1445,1675,230,115.916955,46.448087,48.905109,2.457022,1129,1149,20,101.8,64,50,-14,78.1
KRP Warszawa II,3885,3974,89,102.3,3454,3767,313,109.1,108,84,-24,77.8,1951,2530,579,129.677089,54.803371,63.969659,9.166288,1242,1434,192,115.5,64,72,8,112.5
KRP Warszawa III ,2093,2280,187,108.9,1845,2032,187,110.1,47,50,3,106.4,809,1040,231,128.55377,43.588362,50.290135,6.701773,594,693,99,116.7,48,49,1,102.1
KRP Warszawa IV,2966,3298,332,111.2,2714,2753,39,101.4,82,73,-9,89.0,1509,1420,-89,94.102054,54.872727,50.623886,-4.248841,1106,1062,-44,96.0,50,55,5,110
KRP Warszawa V,1640,1864,224,113.7,1690,1714,24,101.4,144,128,-16,88.9,959,963,4,100.417101,55.433526,55.408516,-2.5010476462881601E-2,643,651,8,101.2,52,63,11,121.2
KRP Warszawa VI,3348,3564,216,106.5,2662,2606,-56,97.9,77,70,-7,90.9,1553,1514,-39,97.488731,56.49327,57.240076,0.746805,1145,1007,-138,87.9,61,52,-9,85.2
KRP Warszawa VII,3329,3499,170,105.1,2806,2679,-127,95.5,103,104,1,101.0,1495,1591,96,106.421405,52.69651,58.321114,5.624604,1104,971,-133,88.0,67,46,-21,68.7
Ogółem KSP,31387,34559,3172,110.1,28144,29464,1320,104.7,849,712,-137,83.9,16754,18629,1875,111.191357,58.360039,61.999534,3.639495,12097,12717,620,105.1,574,511,-63,89.0
* Brak jednostki / komórki organizacyjnej oznacza brak danych w bieżącym okresie,,,,,,,,,,,,4,,,,,,,,,,,,,,,
