District,lat,lon,value
Bemowo,52.242581,20.912482,1034
Białołęka,52.331626,21.019849,1086
Bielany,52.277674,20.946421,1212
Mokotów,52.194203,21.044183,2643
Ochota,52.210615,20.972834,1103
Praga-Południe,52.237535,21.070974,2498
Praga-Północ,52.264018,21.034270,2901
Rembertów,52.261707,21.161533,118
Śródmieście,52.231017,21.011287,1900
Targówek,52.275573,21.060340,1123
Ursus,52.195255,20.884025,606
Ursynów,52.139873,21.031154,1471
Wawer,52.218609,21.143666,646
Wesoła,52.252670,21.228736,131
Wilanów,52.153146,21.112157,545
Włochy,52.164730,20.967981,809
Wola,52.235853,20.954603,2801
Żoliborz,52.270321,20.985537,568
